CustomerID,CustomerName,Region,CustomerSince,CustomerAge,TotalSpend,CustomerStatus
1002,Angela James,West,2025-09-05,39,649.76,New
1011,Paul Martin,East,2025-09-24,52,4095.23,New
1012,Jeffrey Lopez,East,2025-10-28,60,14988.16,New
1013,Charles Wood,East,2025-02-02,33,763.89,VIP
1014,Linda Flores,East,2025-05-17,21,0.0,VIP
1017,Edward Diaz,North,2025-04-02,41,3228.07,Regular
1019,Andrew Morales,East,2024-11-12,32,5565.6,Regular
1020,Nicholas Sanchez,Central,2024-10-05,39,15505.73,Regular
1031,Shirley White,East,2025-08-16,30,5260.35,Regular
1038,Carol Parker,East,2025-02-06,44,8661.36,VIP
1047,Richard Nelson,West,2024-02-06,54,16124.55,Regular
1052,Dorothy Morgan,Central,2025-11-03,30,1726.76,New
1054,Kevin Morris,East,2024-10-03,47,5021.63,VIP
1056,Betty Reed,South,2024-12-29,18,0.0,Regular
1061,Samuel Miller,East,2025-06-13,54,12870.66,Regular
1063,Christopher Watson,East,2025-03-06,19,11444.49,Regular
1065,Jonathan Gray,East,2025-05-01,68,3645.45,VIP
1066,Lisa Gray,East,2022-03-16,18,1059.55,Regular
1067,Joseph Cooper,East,2025-10-19,59,7048.82,New
1069,Timothy Anderson,North,2025-04-15,39,4620.91,Regular
1076,Anna Edwards,Central,2025-02-04,28,24028.93,VIP
1077,William Cox,South,2023-09-05,53,2021.63,VIP
1078,Rebecca Kelly,East,2025-11-26,40,3361.78,New
1079,Samantha Miller,West,2024-09-03,50,1108.45,Regular
1080,Jeffrey Hernandez,North,2024-01-01,56,32330.29,Regular
1081,Richard Wilson,East,2025-11-02,25,39386.2,New
1082,Deborah Thompson,East,2025-11-06,52,2750.22,New
1083,Ashley Thomas,East,2025-01-28,42,9886.97,Regular
1084,Patricia Carter,East,2025-10-23,43,10582.07,New
1085,Ryan Allen,East,2025-08-02,29,5140.23,Regular
1086,Pamela Anderson,East,2025-10-15,52,504.03,New
1087,Rebecca Cox,North,2024-10-12,53,23201.92,Regular
1089,Jason Johnson,East,2025-08-10,73,1343.48,Regular
1090,Dorothy Campbell,East,2025-03-25,39,6687.04,Regular
1091,Ryan Rodriguez,North,2025-05-23,51,16928.95,Regular
1092,Jennifer Mitchell,East,2024-11-19,49,4783.69,Regular
1093,Emma Turner,Central,2025-05-27,44,3071.29,Regular
1094,Deborah Phillips,East,2024-01-06,48,1555.96,Regular
1095,Jennifer Kim,East,2025-11-06,48,346.34,New
1096,Stephanie Morgan,West,2024-10-08,18,2819.26,Regular
1097,Mary Hall,South,2024-06-25,27,2611.76,Regular
1100,Michelle Perez,Central,2022-05-01,41,973.09,Regular
1101,Kenneth Reed,East,2025-11-21,75,0.0,New
1102,Thomas Nguyen,Central,2024-02-16,60,428.6,Regular
1105,Mark Adams,East,2025-05-29,41,8203.04,Regular
1107,Shirley Ramos,South,2025-09-04,46,1545.86,New
1108,Elizabeth Allen,West,2022-11-01,49,2448.78,Regular
1109,Paul Miller,Central,2025-07-09,46,1990.2,Regular
1110,Shirley Harris,West,2025-08-13,37,3343.52,VIP
1112,Andrew Wilson,East,2025-01-18,52,11069.5,Regular
1113,Nicholas Diaz,South,2021-02-26,41,17197.54,Regular
1115,Carol Kelly,East,2024-10-13,28,13453.5,VIP
1116,Steven Nguyen,Central,2025-08-06,27,8306.33,Regular
1117,Sandra Cox,East,2024-01-03,34,5315.58,Regular
1118,Shirley Gomez,South,2024-11-07,36,8194.68,Regular
1119,Anthony Hill,Central,2025-11-10,18,3940.18,New
1120,Christopher Carter,Central,2025-01-22,57,4292.44,Regular
1121,Shirley Scott,East,2024-06-04,53,5861.71,Regular
1122,Angela Wood,South,2024-11-24,40,10764.18,Regular
1123,Ashley Garcia,East,2024-07-08,48,7931.68,Regular
