customer_key,customer_id,name,email,region,join_date,customer_age,load_date
1,1002,Angela James,unknown@email.com,West,2025-09-05,39,2025-11-29 00:19:39
2,1011,Paul Martin,unknown@email.com,East,2025-09-24,52,2025-11-29 00:19:39
3,1012,Jeffrey Lopez,unknown@email.com,East,2025-10-28,60,2025-11-29 00:19:39
4,1013,Charles Wood,unknown@email.com,East,2025-02-02,33,2025-11-29 00:19:39
5,1014,Linda Flores,unknown@email.com,East,2025-05-17,21,2025-11-29 00:19:39
6,1017,Edward Diaz,unknown@email.com,North,2025-04-02,41,2025-11-29 00:19:39
7,1019,Andrew Morales,unknown@email.com,East,2024-11-12,32,2025-11-29 00:19:39
8,1020,Nicholas Sanchez,unknown@email.com,Central,2024-10-05,39,2025-11-29 00:19:39
9,1031,Shirley White,unknown@email.com,East,2025-08-16,30,2025-11-29 00:19:39
10,1038,Carol Parker,unknown@email.com,East,2025-02-06,44,2025-11-29 00:19:39
11,1047,Richard Nelson,unknown@email.com,West,2024-02-06,54,2025-11-29 00:19:39
12,1052,Dorothy Morgan,unknown@email.com,Central,2025-11-03,30,2025-11-29 00:19:39
13,1054,Kevin Morris,unknown@email.com,East,2024-10-03,47,2025-11-29 00:19:39
14,1056,Betty Reed,unknown@email.com,South,2024-12-29,18,2025-11-29 00:19:39
15,1061,Samuel Miller,unknown@email.com,East,2025-06-13,54,2025-11-29 00:19:39
16,1063,Christopher Watson,unknown@email.com,East,2025-03-06,19,2025-11-29 00:19:39
17,1065,Jonathan Gray,unknown@email.com,East,2025-05-01,68,2025-11-29 00:19:39
18,1066,Lisa Gray,unknown@email.com,East,2022-03-16,18,2025-11-29 00:19:39
19,1067,Joseph Cooper,unknown@email.com,East,2025-10-19,59,2025-11-29 00:19:39
20,1069,Timothy Anderson,unknown@email.com,North,2025-04-15,39,2025-11-29 00:19:39
21,1076,Anna Edwards,unknown@email.com,Central,2025-02-04,28,2025-11-29 00:19:39
22,1077,William Cox,unknown@email.com,South,2023-09-05,53,2025-11-29 00:19:39
23,1078,Rebecca Kelly,unknown@email.com,East,2025-11-26,40,2025-11-29 00:19:39
24,1079,Samantha Miller,unknown@email.com,West,2024-09-03,50,2025-11-29 00:19:39
25,1080,Jeffrey Hernandez,unknown@email.com,North,2024-01-01,56,2025-11-29 00:19:39
26,1081,Richard Wilson,unknown@email.com,East,2025-11-02,25,2025-11-29 00:19:39
27,1082,Deborah Thompson,unknown@email.com,East,2025-11-06,52,2025-11-29 00:19:39
28,1083,Ashley Thomas,unknown@email.com,East,2025-01-28,42,2025-11-29 00:19:39
29,1084,Patricia Carter,unknown@email.com,East,2025-10-23,43,2025-11-29 00:19:39
30,1085,Ryan Allen,unknown@email.com,East,2025-08-02,29,2025-11-29 00:19:39
31,1086,Pamela Anderson,unknown@email.com,East,2025-10-15,52,2025-11-29 00:19:39
32,1087,Rebecca Cox,unknown@email.com,North,2024-10-12,53,2025-11-29 00:19:39
33,1089,Jason Johnson,unknown@email.com,East,2025-08-10,73,2025-11-29 00:19:39
34,1090,Dorothy Campbell,unknown@email.com,East,2025-03-25,39,2025-11-29 00:19:39
35,1091,Ryan Rodriguez,unknown@email.com,North,2025-05-23,51,2025-11-29 00:19:39
36,1092,Jennifer Mitchell,unknown@email.com,East,2024-11-19,49,2025-11-29 00:19:39
37,1093,Emma Turner,unknown@email.com,Central,2025-05-27,44,2025-11-29 00:19:39
38,1094,Deborah Phillips,unknown@email.com,East,2024-01-06,48,2025-11-29 00:19:39
39,1095,Jennifer Kim,unknown@email.com,East,2025-11-06,48,2025-11-29 00:19:39
40,1096,Stephanie Morgan,unknown@email.com,West,2024-10-08,18,2025-11-29 00:19:39
41,1097,Mary Hall,unknown@email.com,South,2024-06-25,27,2025-11-29 00:19:39
42,1100,Michelle Perez,unknown@email.com,Central,2022-05-01,41,2025-11-29 00:19:39
43,1101,Kenneth Reed,unknown@email.com,East,2025-11-21,75,2025-11-29 00:19:39
44,1102,Thomas Nguyen,unknown@email.com,Central,2024-02-16,60,2025-11-29 00:19:39
45,1105,Mark Adams,unknown@email.com,East,2025-05-29,41,2025-11-29 00:19:39
46,1107,Shirley Ramos,unknown@email.com,South,2025-09-04,46,2025-11-29 00:19:39
47,1108,Elizabeth Allen,unknown@email.com,West,2022-11-01,49,2025-11-29 00:19:39
48,1109,Paul Miller,unknown@email.com,Central,2025-07-09,46,2025-11-29 00:19:39
49,1110,Shirley Harris,unknown@email.com,West,2025-08-13,37,2025-11-29 00:19:39
50,1112,Andrew Wilson,unknown@email.com,East,2025-01-18,52,2025-11-29 00:19:39
51,1113,Nicholas Diaz,unknown@email.com,South,2021-02-26,41,2025-11-29 00:19:39
52,1115,Carol Kelly,unknown@email.com,East,2024-10-13,28,2025-11-29 00:19:39
53,1116,Steven Nguyen,unknown@email.com,Central,2025-08-06,27,2025-11-29 00:19:39
54,1117,Sandra Cox,unknown@email.com,East,2024-01-03,34,2025-11-29 00:19:39
55,1118,Shirley Gomez,unknown@email.com,South,2024-11-07,36,2025-11-29 00:19:39
56,1119,Anthony Hill,unknown@email.com,Central,2025-11-10,18,2025-11-29 00:19:39
57,1120,Christopher Carter,unknown@email.com,Central,2025-01-22,57,2025-11-29 00:19:39
58,1121,Shirley Scott,unknown@email.com,East,2024-06-04,53,2025-11-29 00:19:39
59,1122,Angela Wood,unknown@email.com,South,2024-11-24,40,2025-11-29 00:19:39
60,1123,Ashley Garcia,unknown@email.com,East,2024-07-08,48,2025-11-29 00:19:39
61,1125,Mary Davis,unknown@email.com,South,2024-08-04,52,2025-11-29 00:19:39
62,1126,Samantha Williams,unknown@email.com,East,2025-06-25,42,2025-11-29 00:19:39
63,1127,Cynthia Young,unknown@email.com,South,2025-06-08,64,2025-11-29 00:19:39
64,1128,Emma Parker,unknown@email.com,West,2024-04-17,18,2025-11-29 00:19:39
65,1129,Nicholas Gutierrez,unknown@email.com,East,2025-02-21,57,2025-11-29 00:19:39
66,1130,Eric Walker,unknown@email.com,East,2025-07-18,55,2025-11-29 00:19:39
67,1131,Brian Cooper,unknown@email.com,East,2024-04-05,28,2025-11-29 00:19:39
68,1132,Nicole Collins,unknown@email.com,East,2024-01-16,43,2025-11-29 00:19:39
69,1134,Mark White,unknown@email.com,West,2025-01-16,42,2025-11-29 00:19:39
70,1135,Donna Miller,unknown@email.com,East,2025-09-23,34,2025-11-29 00:19:39
71,1136,Stephanie Adams,unknown@email.com,Central,2025-05-15,37,2025-11-29 00:19:39
72,1137,Michelle Wilson,unknown@email.com,Central,2025-04-01,47,2025-11-29 00:19:39
73,1139,Donald Allen,unknown@email.com,Central,2025-07-16,54,2025-11-29 00:19:39
74,1140,Samuel Richardson,unknown@email.com,East,2024-11-29,28,2025-11-29 00:19:39
75,1141,Kathleen Robinson,unknown@email.com,East,2024-08-28,62,2025-11-29 00:19:39
76,1142,Raymond Stewart,unknown@email.com,Central,2020-12-01,26,2025-11-29 00:19:39
77,1143,Gregory Hill,unknown@email.com,North,2024-07-02,62,2025-11-29 00:19:39
78,1144,Sarah Ortiz,unknown@email.com,South,2025-10-31,40,2025-11-29 00:19:39
79,1145,Benjamin Wright,unknown@email.com,East,2025-05-21,30,2025-11-29 00:19:39
80,1146,Richard Howard,unknown@email.com,North,2025-04-17,56,2025-11-29 00:19:39
81,1147,Matthew Williams,unknown@email.com,East,2025-11-17,31,2025-11-29 00:19:39
82,1148,Amy Gutierrez,unknown@email.com,East,2025-04-06,29,2025-11-29 00:19:39
83,1149,Emily James,unknown@email.com,East,2025-03-07,33,2025-11-29 00:19:39
84,1150,Rebecca Lewis,unknown@email.com,East,2025-07-13,51,2025-11-29 00:19:39
85,1151,William Edwards,unknown@email.com,East,2025-03-15,35,2025-11-29 00:19:39
86,1152,Sharon Wilson,unknown@email.com,West,2025-02-19,46,2025-11-29 00:19:39
